Nombre de la Prueba	Código de Prueba	Función o Método	Descripción	Datos de Entrada	Resultado Esperado	Resultado Obtenido	Estado	Observaciones
Lógica insertar vs actualizar según cli_id	PU-CLI-001	ClienteController::guardaryeditar()	Validar lógica de inserción cuando cli_id está vacío	cli_id=""	Debe detectar modo inserción	Modo inserción detectado correctamente	Exitoso	Valida empty() para determinar operación
Lógica insertar vs actualizar con cli_id presente	PU-CLI-002	ClienteController::guardaryeditar()	Validar lógica de actualización cuando cli_id tiene valor	cli_id="15"	Debe detectar modo actualización	Modo actualización detectado correctamente	Exitoso	Valida !empty() para determinar operación
Validación datos requeridos para guardar	PU-CLI-003	ClienteController::guardaryeditar()	Validar que campos obligatorios no estén vacíos	cli_tipo_doc, cli_doc, cli_nom, cli_ape	Todos los campos deben ser válidos	Validación exitosa de campos requeridos	Exitoso	Dirección es opcional
Estructura respuesta JSON insertar	PU-CLI-004	ClienteController::guardaryeditar()	Validar estructura de respuesta al insertar cliente	Datos válidos de cliente	{"success":true,"cli_id":123}	Estructura JSON correcta con cli_id	Exitoso	Retorna ID generado en inserción
Estructura respuesta JSON actualizar	PU-CLI-005	ClienteController::guardaryeditar()	Validar estructura de respuesta al actualizar cliente	cli_id="15" + datos	{"success":true}	Estructura JSON correcta sin cli_id	Exitoso	No retorna cli_id en actualización
Mostrar cliente por ID - estructura	PU-CLI-006	ClienteController::mostrar()	Validar estructura de datos al mostrar cliente	cli_id="15"	Array con CLI_ID, CLI_NOM, CLI_APE, etc.	Estructura completa con todos los campos	Exitoso	Mapea correctamente campos de BD
Combo clientes activos HTML	PU-CLI-007	ClienteController::combo()	Generar HTML de select con clientes activos	Ninguna	HTML con options de clientes	HTML generado con opción por defecto + clientes	Exitoso	Incluye opción "Seleccionar" por defecto
Validación DNI para RENIEC - 8 dígitos	PU-CLI-008	ClienteController::consultar_reniec()	Validar que DNI tenga exactamente 8 dígitos	dni="12345678"	DNI válido	Validación exitosa	Exitoso	Usa preg_replace para limpiar caracteres
Validación DNI para RENIEC - muy corto	PU-CLI-009	ClienteController::consultar_reniec()	Rechazar DNI con menos de 8 dígitos	dni="1234567"	DNI inválido	Validación rechaza DNI corto	Exitoso	Valida longitud exacta
Validación DNI para RENIEC - muy largo	PU-CLI-010	ClienteController::consultar_reniec()	Rechazar DNI con más de 8 dígitos	dni="123456789"	DNI inválido	Validación rechaza DNI largo	Exitoso	Valida longitud exacta
Validación token RENIEC requerido	PU-CLI-011	ClienteController::consultar_reniec()	Validar que token de API no esté vacío	token=""	Token inválido	Validación rechaza token vacío	Exitoso	Token es obligatorio para API
Estructura URL consulta RENIEC	PU-CLI-012	ClienteController::consultar_reniec()	Validar construcción correcta de URL de API	dni="12345678"	URL con endpoint correcto	URL: https://api.decolecta.com/v1/reniec/dni?numero=12345678	Exitoso	Usa urlencode para parámetros
Configuración headers cURL RENIEC	PU-CLI-013	ClienteController::consultar_reniec()	Validar headers correctos para petición API	token="test-token"	Headers con Content-Type y Authorization	Headers correctos con Bearer token	Exitoso	Incluye Content-Type: application/json
Estructura respuesta exitosa RENIEC	PU-CLI-014	ClienteController::consultar_reniec()	Validar procesamiento de respuesta exitosa de API	HTTP 200 + JSON válido	Objeto con first_name, first_last_name, etc.	Respuesta procesada correctamente	Exitoso	Mapea campos de API a estructura interna
Manejo errores consulta RENIEC - HTTP 400	PU-CLI-015	ClienteController::consultar_reniec()	Validar manejo de error HTTP de API	HTTP 400	{"success":false,"message":"...","status":400}	Error manejado correctamente	Exitoso	Captura errores HTTP
Manejo errores consulta RENIEC - cURL	PU-CLI-016	ClienteController::consultar_reniec()	Validar manejo de error de conexión cURL	Error de conexión	{"success":false,"message":"Error al consultar RENIEC: ..."}	Error de conexión manejado	Exitoso	Captura excepciones de cURL
Verificar operaciones disponibles	PU-CLI-017	ClienteController::switch	Validar que todas las operaciones estén disponibles	Ninguna	6 operaciones: guardaryeditar, listar, mostrar, eliminar, combo, consultar_reniec	6 operaciones disponibles	Exitoso	Switch case completo
Flujo completo registro con RENIEC	PU-CLI-018	ClienteController::consultar_reniec() + guardaryeditar()	Validar flujo completo: consulta RENIEC → mapeo → inserción	dni="12345678"	Cliente insertado con datos de RENIEC	Flujo completo exitoso con cli_id generado	Exitoso	Integración completa de consulta e inserción
Validación nombre vacío	PU-CAT-001	CategoriaController::guardaryeditar()	Rechazar categoría con nombre vacío	cat_nom=""	Error: nombre obligatorio	Validación rechaza nombre vacío	Exitoso	Usa trim() para validar
Inserción exitosa de categoría	PU-CAT-002	CategoriaController::guardaryeditar()	Validar inserción de categoría con datos válidos	cat_nom="Bebidas", cat_id=""	Categoría registrada correctamente	Inserción exitosa	Exitoso	Detecta modo inserción con empty(cat_id)
Actualización exitosa de categoría	PU-CAT-003	CategoriaController::guardaryeditar()	Validar actualización de categoría existente	cat_nom="Bebidas Actualizadas", cat_id="5"	Categoría actualizada correctamente	Actualización exitosa	Exitoso	Detecta modo actualización con !empty(cat_id)
Error categoría duplicada	PU-CAT-004	CategoriaController::guardaryeditar()	Rechazar categoría con nombre duplicado	cat_nom existente	Error: Ya existe una categoría con este nombre	Validación rechaza duplicado	Exitoso	Previene duplicados en BD
Estructura DataTables para listar	PU-CAT-005	CategoriaController::listar()	Validar estructura de respuesta para DataTables	Ninguna	{"sEcho":1,"iTotalRecords":N,"iTotalDisplayRecords":N,"aaData":[...]}	Estructura DataTables correcta	Exitoso	Incluye botones editar/eliminar en HTML
Estructura JSON para mostrar	PU-CAT-006	CategoriaController::mostrar()	Validar estructura de datos al mostrar categoría	cat_id="1"	{"CAT_ID":1,"CAT_NOM":"Bebidas"}	Estructura JSON correcta	Exitoso	Mapea campos de BD
Validación ID para eliminar	PU-CAT-007	CategoriaController::eliminar()	Validar que ID sea numérico y no vacío	cat_id="5"	ID válido	Validación exitosa	Exitoso	Valida !empty() && is_numeric()
Combo HTML con datos	PU-CAT-008	CategoriaController::combo()	Generar select HTML con categorías activas	Ninguna	HTML con options de categorías	HTML con opción "Seleccionar" + categorías	Exitoso	Genera options dinámicamente
Combo HTML sin datos	PU-CAT-009	CategoriaController::combo()	Manejar caso sin categorías disponibles	Array vacío	HTML vacío	String vacío retornado	Exitoso	No genera HTML si no hay datos
Validación número habitación no vacío	PU-HAB-001	HabitacionController::guardaryeditar()	Rechazar habitación sin número	hab_num=""	Número requerido	Validación rechaza número vacío	Exitoso	Usa trim() para validar
Validación descripción no vacía	PU-HAB-002	HabitacionController::guardaryeditar()	Rechazar habitación sin descripción	hab_det="   "	Descripción requerida	Validación rechaza descripción vacía	Exitoso	Usa trim() para validar espacios
Validación piso requerido	PU-HAB-003	HabitacionController::guardaryeditar()	Rechazar habitación sin piso seleccionado	hab_piso_id=""	Piso requerido	Validación rechaza piso vacío	Exitoso	Valida !empty()
Validación categoría requerida	PU-HAB-004	HabitacionController::guardaryeditar()	Rechazar habitación sin categoría	hab_cat_id=null	Categoría requerida	Validación rechaza categoría null	Exitoso	Valida !empty()
Detectar modo inserción vs actualización	PU-HAB-005	HabitacionController::guardaryeditar()	Validar lógica de operación según hab_id	hab_id="" o hab_id=1	Modo correcto detectado	Inserción/actualización detectada correctamente	Exitoso	Usa empty(hab_id) para determinar
Validación formatos número habitación	PU-HAB-006	HabitacionController::guardaryeditar()	Aceptar diferentes formatos de número	"101", "201A", "301-B", "SUITE1"	Formatos válidos	Todos los formatos aceptados	Exitoso	Acepta alfanuméricos y guiones
Procesamiento estado con valor default	PU-HAB-007	HabitacionController::guardaryeditar()	Asignar estado por defecto si no se especifica	hab_est_id=""	Estado = 0 (default)	Estado 0 asignado	Exitoso	Usa operador ternario para default
Validación parámetros cambio tipo estado	PU-HAB-008	HabitacionController::cambiar_tipo_estado()	Validar hab_id e id_estado_habitacion requeridos	hab_id=1, id_estado_habitacion=3	Parámetros válidos	Validación exitosa	Exitoso	Ambos parámetros obligatorios
Conversión estado booleano	PU-HAB-009	HabitacionController::cambiar_estado()	Convertir string "true"/"false" a 1/0	estado="true"	nuevoEstado=1	Conversión correcta a entero	Exitoso	Usa comparación == 'true'
Validación parámetros asignar tarifa	PU-HAB-010	HabitacionController::asignar_tarifa()	Validar parámetros requeridos para asignar tarifa	hab_id, tarifa_id, fecha_inicio	Parámetros válidos	Validación exitosa	Exitoso	fecha_fin es opcional (null)
Validación ID para obtener_por_id	PU-HAB-011	HabitacionController::obtener_por_id()	Validar que hab_id sea mayor a 0	hab_id=5	ID válido	Validación exitosa	Exitoso	Valida intval(hab_id) > 0
Estructura respuesta DataTable	PU-HAB-012	HabitacionController::listar()	Validar estructura para DataTables	Ninguna	Estructura con sEcho, iTotalRecords, aaData	Estructura correcta generada	Exitoso	Compatible con DataTables
Validación listar tarifas asignadas	PU-HAB-013	HabitacionController::listar_tarifas_asignadas()	Validar que hab_id sea requerido	hab_id=1	Parámetro válido	Validación exitosa	Exitoso	hab_id obligatorio
Validación actualizar vigencia tarifa	PU-HAB-014	HabitacionController::actualizar_vigencia_tarifa()	Validar parámetros para actualizar vigencia	habitacion_tarifa_id, fecha_inicio	Parámetros válidos	Validación exitosa	Exitoso	fecha_fin opcional
Validación eliminar tarifa asignada	PU-HAB-015	HabitacionController::eliminar_tarifa_asignada()	Validar habitacion_tarifa_id requerido	habitacion_tarifa_id=1	Parámetro válido	Validación exitosa	Exitoso	ID obligatorio
Cobertura operaciones principales	PU-HAB-016	HabitacionController::switch	Verificar todas las operaciones disponibles	Ninguna	9 operaciones disponibles	9 operaciones verificadas	Exitoso	Incluye asignar_tarifa, cambiar_tipo_estado
Simulación verificación duplicada	PU-HAB-017	HabitacionController::guardaryeditar()	Validar lógica de detección de habitación duplicada	hab_num="101"	Detecta duplicado o permite edición	Lógica de duplicados correcta	Exitoso	Excluye misma habitación en edición
Validación cliente requerido	PU-REC-001	RecepcionController::guardaryeditar()	Rechazar recepción sin cliente válido	cli_id=0	Error: cliente obligatorio	Validación rechaza cli_id <= 0	Exitoso	Valida cli_id > 0
Validación habitación requerida	PU-REC-002	RecepcionController::guardaryeditar()	Rechazar recepción sin habitación válida	hab_id=0	Error: habitación obligatoria	Validación rechaza hab_id <= 0	Exitoso	Valida hab_id > 0
Procesamiento precio inicial	PU-REC-003	RecepcionController::guardaryeditar()	Validar procesamiento de precio inicial	precio_inicial=150.75	Precio redondeado a 2 decimales	150.75 procesado correctamente	Exitoso	Usa round() para 2 decimales
Procesamiento adelanto y observación	PU-REC-004	RecepcionController::guardaryeditar()	Validar conversión de adelanto y trim de observación	adelanto="50.25", observacion="  VIP  "	adelanto=50.25, observacion="VIP"	Procesamiento correcto	Exitoso	floatval() y trim()
Parseo fecha salida formato Y-m-d H:i	PU-REC-005	RecepcionController::guardaryeditar()	Validar parseo de fecha formato estándar	"2024-12-25 14:30"	DateTime válido → "2024-12-25 14:30:00"	Fecha parseada correctamente	Exitoso	Usa DateTime::createFromFormat()
Parseo fecha salida formato d M, Y H:i	PU-REC-006	RecepcionController::guardaryeditar()	Validar parseo de fecha formato alternativo	"25 Dec, 2024 14:30"	DateTime válido → "2024-12-25 14:30:00"	Fecha parseada correctamente	Exitoso	Soporta múltiples formatos
Fecha salida por defecto 3 horas	PU-REC-007	RecepcionController::guardaryeditar()	Generar fecha salida 3 horas desde ahora si no se especifica	fecha_salida=""	Fecha = now + 3 horas	Fecha generada correctamente	Exitoso	Usa time() + (3 * 60 * 60)
Validación rec_id para obtener_x_id	PU-REC-008	RecepcionController::obtener_x_id()	Validar que rec_id sea mayor a 0	rec_id=10	ID válido	Validación exitosa	Exitoso	Valida rec_id > 0
Validación parámetros confirmar_salida	PU-REC-009	RecepcionController::confirmar_salida()	Validar parámetros requeridos para confirmar salida	rec_id, costo_penalidad, total_pagado	Parámetros válidos	Validación exitosa	Exitoso	Convierte strings a float
Conversión tipos datos POST	PU-REC-010	RecepcionController::guardaryeditar()	Validar conversión de strings POST a tipos correctos	cli_id="15", precio="125.99"	cli_id=15 (int), precio=125.99 (float)	Conversión correcta	Exitoso	Usa intval() y floatval()
Estructura respuesta JSON exitosa	PU-REC-011	RecepcionController::guardaryeditar()	Validar estructura de respuesta exitosa	Datos válidos	{"success":true,"rec_id":123}	Estructura correcta	Exitoso	Incluye rec_id generado
Estructura respuesta JSON error	PU-REC-012	RecepcionController::guardaryeditar()	Validar estructura de respuesta de error	Parámetros faltantes	{"success":false,"message":"..."}	Estructura de error correcta	Exitoso	Mensaje descriptivo incluido
Verificar operaciones disponibles	PU-REC-013	RecepcionController::switch	Validar operaciones del switch	Ninguna	4 operaciones disponibles	4 operaciones verificadas	Exitoso	listar_ocupaciones_activas, guardaryeditar, obtener_x_id, confirmar_salida
Manejo excepciones try-catch	PU-REC-014	RecepcionController::*	Validar captura de excepciones	Exception lanzada	{"success":false,"message":"..."}	Excepción capturada correctamente	Exitoso	Try-catch en todas las operaciones
Normalización datos entrada	PU-REC-015	RecepcionController::guardaryeditar()	Validar limpieza de datos de entrada	Datos con espacios y tipos mixtos	Datos normalizados correctamente	Normalización exitosa	Exitoso	trim(), intval(), floatval()
Flujo completo check-in simulado	PU-REC-016	RecepcionController::guardaryeditar()	Validar flujo completo de check-in	cli_id=5, hab_id=10, precio=150, adelanto=50	Check-in exitoso con rec_id generado	Flujo completo exitoso	Exitoso	Integración de todas las validaciones
Validación rec_id para listar_por_recepcion	PU-VEN-001	VentaController::listar_por_recepcion()	Validar que rec_id sea mayor a 0	rec_id=15	ID válido	Validación exitosa	Exitoso	Valida rec_id > 0
Prioridad resolución rec_id - POST	PU-VEN-002	VentaController::registrar()	Validar que POST rec_id tenga prioridad 1	POST rec_id=100, SESSION rec_id=50	rec_id final = 100	Prioridad POST correcta	Exitoso	POST > SESSION > búsqueda por hab_id
Prioridad resolución rec_id - SESSION	PU-VEN-003	VentaController::registrar()	Validar que SESSION rec_id tenga prioridad 2	POST rec_id=0, SESSION rec_id=75	rec_id final = 75	Prioridad SESSION correcta	Exitoso	Fallback a SESSION si POST vacío
Prioridad resolución rec_id - búsqueda	PU-VEN-004	VentaController::registrar()	Validar búsqueda por hab_id como prioridad 3	POST=0, SESSION=0, hab_id=25	rec_id encontrado por habitación	Búsqueda por hab_id exitosa	Exitoso	Último fallback antes de error
Validación datos requeridos guardardetalle	PU-VEN-005	VentaController::guardardetalle()	Validar que todos los parámetros sean válidos	vent_id, prod_id, prod_pventa, detv_cant	Todos > 0	Validación exitosa	Exitoso	Todos los parámetros obligatorios
Validación stock disponible - suficiente	PU-VEN-006	VentaController::guardardetalle()	Validar que hay stock suficiente	stock=10, cantidad=5	Stock suficiente	Validación permite venta	Exitoso	cantidad <= stock
Validación stock disponible - insuficiente	PU-VEN-007	VentaController::guardardetalle()	Rechazar venta si stock insuficiente	stock=3, cantidad=8	Stock insuficiente	Validación rechaza venta	Exitoso	Error descriptivo con stock disponible
Procesamiento formatos stock - PRO_CANT	PU-VEN-008	VentaController::guardardetalle()	Validar lectura de stock con campo PRO_CANT	Array con PRO_CANT=15	stock=15	Stock leído correctamente	Exitoso	Soporta formato PRO_CANT
Procesamiento formatos stock - Cantidad	PU-VEN-009	VentaController::guardardetalle()	Validar lectura de stock con campo Cantidad	Array con Cantidad=8	stock=8	Stock leído correctamente	Exitoso	Soporta formato Cantidad (fallback)
Validación detv_id para eliminardetalle	PU-VEN-010	VentaController::eliminardetalle()	Validar que detv_id sea mayor a 0	detv_id=25	ID válido	Validación exitosa	Exitoso	Valida detv_id > 0
Estructura DataTable listardetalle	PU-VEN-011	VentaController::listardetalle()	Validar estructura para DataTables	vent_id=5	Estructura con sEcho, iTotalRecords, aaData	Estructura correcta con botones eliminar	Exitoso	Incluye sanitización con htmlspecialchars()
Cálculo totales subtotal IGV total	PU-VEN-012	VentaController::calculo()	Validar cálculo de totales	Detalles de venta	VENT_SUBTOTAL, VENT_IGV, VENT_TOTAL con 2 decimales	Cálculos correctos	Exitoso	Total = Subtotal + IGV
Estados venta PENDIENTE vs PAGADO	PU-VEN-013	VentaController::guardar()	Validar lógica de estados de venta	estado_sel="PENDIENTE" o "PAGADO"	Estado correcto asignado	Estados procesados correctamente	Exitoso	Usa strtoupper() para comparación
