Nombre del Caso de Prueba	ID de Prueba	Función o Método	Descripción	Entradas	Resultado Esperado	Resultado Real	Estado	Observaciones
Validar inserción de cliente	PU-CLI-001	Cliente::insertar()	Validar que se pueda crear un cliente con datos completos	dni="12345678", nombre="Juan", apellido="Pérez", telefono="987654321"	Cliente insertado correctamente, retorna ID del cliente creado	Cliente insertado con ID=25, todos los campos guardados correctamente	Exitoso	Validación de DNI único funcionando correctamente
Validar DNI único	PU-CLI-002	Cliente::validarDNIUnico()	Verificar que no se permitan DNIs duplicados en la base de datos	dni="12345678" (DNI ya existente en BD)	Retorna false indicando que el DNI ya existe	Retorna false correctamente, DNI duplicado detectado	Exitoso	Previene duplicados correctamente
Integración API RENIEC - DNI válido	PU-CLI-003	Cliente::consultarRENIEC()	Validar consulta exitosa a la API de RENIEC con DNI válido	dni="12345678"	Datos del cliente obtenidos de RENIEC (nombre, apellido)	Datos obtenidos correctamente en 1.8 segundos	Exitoso	API RENIEC respondiendo correctamente
Integración API RENIEC - DNI inválido	PU-CLI-004	Cliente::consultarRENIEC()	Validar manejo de error cuando DNI no existe en RENIEC	dni="99999999" (DNI no existente)	Error controlado con mensaje "DNI no encontrado en RENIEC"	Error manejado correctamente, mensaje apropiado mostrado	Exitoso	Manejo de errores funcionando
Integración API RENIEC - Timeout	PU-CLI-005	Cliente::consultarRENIEC()	Validar manejo de timeout en consulta a API RENIEC	Simular timeout de 5 segundos	Error de timeout manejado, mensaje "Tiempo de espera agotado"	Timeout detectado y manejado correctamente	Exitoso	Timeout configurado correctamente
Editar datos de cliente	PU-CLI-006	Cliente::editar()	Validar actualización de datos de cliente existente	id=1, nombre="Juan Carlos", apellido="Pérez García"	Cliente actualizado correctamente	Datos actualizados exitosamente en BD	Exitoso	Actualización completa
Eliminar cliente sin relaciones	PU-CLI-007	Cliente::eliminar()	Validar eliminación de cliente sin reservas asociadas	id=5 (sin reservas)	Cliente eliminado correctamente	Cliente eliminado de BD	Exitoso	Validación de relaciones funcionando
Listar todos los clientes	PU-CLI-008	Cliente::listar()	Obtener lista completa de clientes	Ninguna	Array con todos los clientes	24 clientes listados correctamente	Exitoso	Ordenamiento alfabético aplicado
Buscar cliente por DNI	PU-CLI-009	Cliente::buscarPorDNI()	Buscar cliente específico por DNI	dni="12345678"	Datos del cliente encontrado	Cliente encontrado con datos completos	Exitoso	Búsqueda rápida funcionando
Buscar cliente por nombre	PU-CLI-010	Cliente::buscarPorNombre()	Buscar clientes por nombre parcial	nombre="Juan"	Array de clientes que coinciden	3 clientes encontrados	Exitoso	Búsqueda parcial funcionando
Activar cliente	PU-CLI-011	Cliente::activar()	Cambiar estado de cliente a activo	id=5	Cliente activado correctamente	Estado cambiado a activo	Exitoso	Cambio de estado validado
Desactivar cliente	PU-CLI-012	Cliente::desactivar()	Cambiar estado de cliente a inactivo	id=5	Cliente desactivado correctamente	Estado cambiado a inactivo	Exitoso	Cliente no aparece en combos
